성별,화장품,만족도
남,"토너, 로션, 크림, 선크림",7
여,"토너, 크림",5
남,"토너, 에센스, 로션, 선크림",5
여,"토너, 에센스, 로션, 크림, 선크림",7
남,"토너, 에센스, 로션 선크림",5
여,"토너, 에센스, 로션, 크림, 선크림",7
남,"토너, 에센스, 로션, 선크림",5
남,"토너, 크림",5
여,"토너, 크림",6
여,"토너, 에센스, 로션, 크림, 선크림",5
남,"토너, 로션",4
여,"토너, 에센스, 로션",5
여,"토너, 에센스, 로션",5
남,"에센스, 로션",4
남,토너,7
남,"토너, 크림, 선크림",5
여,"토너, 크림, 선크림",5
여,"토너, 선크림",7
여,"토너, 크림, 선크림",6
남,"토너, 에센스, 로션, 크림, 선크림",7
여,"토너, 에센스, 로션",4
여,"토너, 에센스, 로션 크림",7
여,"토너, 에센스, 로션 크림",5
남,"토너, 로션, 크림, 선크림",5
남,"토너, 에센스, 로션 선크림",5
여,"토너, 로션, 크림",5
남,"토너, 크림, 선크림",5
남,"토너, 에센스, 로션 선크림",6
남,토너,4
여,토너,4
여,"토너, 로션, 크림, 선크림",4
남,"토너, 에센스, 크림",5
남,"토너, 에센스, 로션, 크림, 선크림",6
남,크림,7
남,"토너, 로션, 크림",6
여,"토너, 에센스, 크림 선크림",5
남,"토너, 로션, 크림, 선크림",5
남,"토너, 로션",6
여,"토너, 에센스, 로션 크림",6
남,"토너, 로션",5
남,"토너, 로션, 크림",4
남,"토너, 로션 선크림",7
남,"토너, 에센스, 로션, 크림, 선크림",6
남,"에센스, 크림, 선크림",7
남,에센스,6
남,"토너, 에센스, 로션, 크림, 선크림",4
남,크림,7
남,"토너, 로션 선크림",6
여,로션,7
여,"토너, 에센스, 크림",7
남,"토너, 로션",5
여,"토너, 로션, 크림",6
남,"에센스, 선크림",6
남,"토너, 크림, 선크림",5
여,"토너, 에센스, 크림",6
여,"토너, 에센스, 로션 크림",5
남,"토너, 에센스, 크림",5
남,"토너, 로션, 선크림",6
남,"토너, 로션 선크림",6
여,"토너, 선크림",4
남,"토너, 에센스, 크림",6
여,"에센스, 크림, 선크림",4
남,"토너, 로션, 크림",6
