,0.5407323,1.629221,0.2271678,2023-02-15-22-00-25,경고:,게임공간좌표:(0.0, 0.7, 2.5)
,0.5404328,1.629292,0.2268287,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.7, 2.5)
,0.5404376,1.629292,0.2268199,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.6, 2.5)
,0.5404469,1.629291,0.2268001,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.6, 2.5)
,0.5404485,1.62929,0.226796,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.6, 2.5)
,0.5402323,1.629315,0.2266203,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.6, 2.5)
,0.5403322,1.629293,0.2266291,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.6, 2.5)
,0.5404207,1.629278,0.2266344,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.6, 2.5)
,0.5403279,1.629316,0.2265266,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.6, 2.5)
,0.5403486,1.629342,0.2264806,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.6, 2.5)
,0.5402642,1.629398,0.22637,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.5, 2.5)
,0.5400594,1.629463,0.22618,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.5, 2.5)
,0.5398747,1.62949,0.2260207,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.5, 2.5)
,0.5399977,1.629495,0.2260559,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.5, 2.5)
,0.5398592,1.629522,0.2259073,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.5, 2.5)오후 10:02 2023-02-15
,0.5398737,1.629539,0.2258682,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.4, 2.5)
,0.5396332,1.62958,0.2256969,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.4, 2.5)
,0.5396527,1.629595,0.2256519,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.4, 2.5)
,0.5396072,1.629602,0.2256311,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.4, 2.5)
,0.5396284,1.62961,0.225583,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.539631,1.629622,0.225541,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5396563,1.629626,0.2254937,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5394772,1.629645,0.2253392,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.539584,1.62962,0.2253666,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.2, 2.5)
,0.5396119,1.629623,0.2253183,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.2, 2.5)
,0.5396348,1.629613,0.2253,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.2, 2.5)
,0.5396632,1.629617,0.2252535,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.2, 2.5)
,0.5397605,1.6296,0.2252487,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.2, 2.5)
,0.5397862,1.629604,0.2252034,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.2, 2.5)
,0.5397133,1.629616,0.225022,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.2, 2.5)
,0.5397412,1.629622,0.2249671,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5398988,1.629605,0.2249528,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5398649,1.629616,0.2248455,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5398895,1.629622,0.2247863,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.540253,1.629555,0.2249221,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5402838,1.629557,0.2248672,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5404569,1.629513,0.2249035,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5404838,1.629516,0.2248529,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5403024,1.629537,0.2247386,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5404812,1.629511,0.2248336,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5404938,1.629512,0.2247969,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5406419,1.629487,0.2248577,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5406557,1.629485,0.224826,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5408031,1.629475,0.2248844,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5408167,1.629476,0.2248625,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5407549,1.629474,0.2247835,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5407659,1.629471,0.2247633,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5409249,1.629454,0.2248156,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5408522,1.629448,0.224743,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5408584,1.629445,0.2247247,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5410322,1.629419,0.2248267,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5410389,1.629417,0.2248106,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5412892,1.629388,0.2249566,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5412997,1.62938,0.224944,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5411683,1.629385,0.2248603,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5411772,1.629379,0.2248462,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5413522,1.629373,0.2249219,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5413643,1.629362,0.2249085,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5414315,1.629312,0.2249351,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5414068,1.629316,0.224928,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5414113,1.629288,0.224923,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5413257,1.629287,0.2248529,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5413169,1.629264,0.2248493,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5410732,1.629287,0.2247032,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.541047,1.629273,0.2247002,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5411023,1.629265,0.2247471,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5409144,1.6293,0.2246855,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.541037,1.629259,0.2247926,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5411638,1.629233,0.2249187,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5411307,1.629215,0.2249279,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5410947,1.629222,0.2249407,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5410732,1.629202,0.2249482,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5409871,1.629211,0.2249273,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5409745,1.629182,0.2249352,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.5)
,0.5411397,1.629157,0.2250353,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.4)
,0.5411934,1.629123,0.2250606,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(0.0, 0.3, 2.4)
,0.5413378,1.629104,0.2251459,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.1, 0.3, 2.4)
,0.541458,1.629083,0.225255,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.1, 0.3, 2.3)
,0.5414721,1.629078,0.2252747,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.1, 0.3, 2.3)
,0.5415858,1.629065,0.2253622,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.1, 0.3, 2.3)
,0.5416032,1.629063,0.2253897,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.1, 0.3, 2.2)
,0.5416678,1.629074,0.2254487,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.1, 0.3, 2.2)
,0.5416833,1.62908,0.2254819,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.2, 0.3, 2.2)
,0.5417532,1.629106,0.2255481,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.2, 0.3, 2.1)
,0.5418683,1.629092,0.2256299,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.2, 0.3, 2.1)
,0.5418316,1.629145,0.2256006,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.2, 0.3, 2.1)
,0.5419437,1.62915,0.2256633,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.2, 0.3, 2.0)
,0.5419508,1.629157,0.2256929,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.2, 0.3, 2.0)
,0.5419217,1.629158,0.2257112,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.3, 0.3, 1.9)
,0.5419215,1.629163,0.2257435,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.3, 0.3, 1.9)
,0.5420135,1.629135,0.2258593,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.3, 0.3, 1.9)
,0.542015,1.629131,0.2258984,2023-02-15-22-00-26,경고:오른쪽,게임공간좌표:(-0.3, 0.3, 1.8)
,0.541905,1.629131,0.2258891,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.3, 0.3, 1.8)
,0.5418576,1.629127,0.2258918,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.3, 0.3, 1.8)
,0.5419921,1.629091,0.2260176,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.4, 0.3, 1.7)
,0.5418617,1.629095,0.2259485,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.4, 0.3, 1.7)
,0.5418569,1.629081,0.2259881,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.4, 0.3, 1.7)
,0.542051,1.629048,0.2260991,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.4, 0.3, 1.6)
,0.5420536,1.629028,0.226142,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.4, 0.3, 1.6)
,0.5421737,1.628986,0.2262167,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.5, 0.3, 1.6)
,0.542179,1.628962,0.2262634,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.5, 0.3, 1.5)
,0.5419308,1.628999,0.2260917,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.5, 0.3, 1.5)
,0.5419408,1.628951,0.2261127,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.5, 0.3, 1.5)
,0.5420746,1.628927,0.2262173,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.5, 0.3, 1.4)
,0.5420653,1.628902,0.2262305,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.5, 0.3, 1.4)
,0.5420784,1.628874,0.2262837,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.6, 0.3, 1.4)
,0.5420181,1.628869,0.2262708,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.6, 0.3, 1.3)
,0.542024,1.628851,0.2263302,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.6, 0.3, 1.3)
,0.5417455,1.628879,0.2262024,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.6, 0.3, 1.3)
,0.5417448,1.62886,0.2262554,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.6, 0.3, 1.2)
,0.5415691,1.628872,0.2262334,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.6, 0.3, 1.2)
,0.5415655,1.628853,0.2262872,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.6, 0.3, 1.2)
,0.5414795,1.628859,0.2263457,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.7, 0.3, 1.1)
,0.5415813,1.62884,0.2264727,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.7, 0.3, 1.1)
,0.5415715,1.628829,0.2265397,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.7, 0.3, 1.1)
,0.541411,1.628838,0.226534,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.7, 0.3, 1.0)
,0.5413953,1.628825,0.2266101,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.7, 0.3, 1.0)
,0.5414413,1.628806,0.2267793,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.7, 0.3, 1.0)
,0.5414129,1.628784,0.2268754,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.7, 0.3, 0.9)
A지역,0.5413688,1.628792,0.2269753,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.8, 0.3, 0.9)
A지역,0.5413297,1.628772,0.2270712,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.8, 0.3, 0.9)
A지역,0.5413243,1.628754,0.2271439,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.8, 0.3, 0.8)
A지역,0.5413002,1.62874,0.2272543,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.8, 0.3, 0.8)
A지역,0.541242,1.628723,0.2273613,2023-02-15-22-00-27,경고:오른쪽,게임공간좌표:(-0.8, 0.3, 0.8)
