Column1,Sex,transaction,Cosmetics
0,남,1,토너(스킨)
1,남,1,로션(에멀전)
2,남,1,"크림(수분크림,영양크림)"
3,남,1,선크림
4,여,2,토너(스킨)
5,여,2,"크림(수분크림,영양크림)"
6,남,3,토너(스킨)
7,남,3,"에센스(세럼,앰플)"
8,남,3,로션(에멀전)
9,남,3,선크림
10,여,4,토너(스킨)
11,여,4,"에센스(세럼,앰플)"
12,여,4,로션(에멀전)
13,여,4,"크림(수분크림,영양크림)"
14,여,4,선크림
15,남,5,토너(스킨)
16,남,5,"에센스(세럼,앰플)"
17,남,5,로션(에멀전)
18,남,5,선크림
19,여,6,토너(스킨)
20,여,6,"에센스(세럼,앰플)"
21,여,6,로션(에멀전)
22,여,6,"크림(수분크림,영양크림)"
23,여,6,선크림
24,남,7,토너(스킨)
25,남,7,"에센스(세럼,앰플)"
26,남,7,로션(에멀전)
27,남,7,선크림
28,남,8,토너(스킨)
29,남,8,"크림(수분크림,영양크림)"
30,여,9,토너(스킨)
31,여,9,"크림(수분크림,영양크림)"
32,여,10,토너(스킨)
33,여,10,"에센스(세럼,앰플)"
34,여,10,로션(에멀전)
35,여,10,"크림(수분크림,영양크림)"
36,여,10,선크림
37,남,11,토너(스킨)
38,남,11,로션(에멀전)
39,여,12,토너(스킨)
40,여,12,"에센스(세럼,앰플)"
41,여,12,로션(에멀전)
42,여,13,토너(스킨)
43,여,13,"에센스(세럼,앰플)"
44,여,13,로션(에멀전)
45,남,14,"에센스(세럼,앰플)"
46,남,14,로션(에멀전)
47,남,15,토너(스킨)
48,남,16,토너(스킨)
49,남,16,"크림(수분크림,영양크림)"
50,남,16,선크림
51,여,17,토너(스킨)
52,여,17,"크림(수분크림,영양크림)"
53,여,17,선크림
54,여,18,토너(스킨)
55,여,18,선크림
56,여,19,토너(스킨)
57,여,19,"크림(수분크림,영양크림)"
58,여,19,선크림
59,남,20,토너(스킨)
60,남,20,"에센스(세럼,앰플)"
61,남,20,로션(에멀전)
62,남,20,"크림(수분크림,영양크림)"
63,남,20,선크림
64,여,21,토너(스킨)
65,여,21,"에센스(세럼,앰플)"
66,여,21,로션(에멀전)
67,여,22,토너(스킨)
68,여,22,"에센스(세럼,앰플)"
69,여,22,로션(에멀전)
70,여,22,"크림(수분크림,영양크림)"
71,여,23,토너(스킨)
72,여,23,"에센스(세럼,앰플)"
73,여,23,로션(에멀전)
74,여,23,"크림(수분크림,영양크림)"
75,남,24,토너(스킨)
76,남,24,로션(에멀전)
77,남,24,"크림(수분크림,영양크림)"
78,남,24,선크림
79,남,25,토너(스킨)
80,남,25,"에센스(세럼,앰플)"
81,남,25,로션(에멀전)
82,남,25,선크림
83,여,26,토너(스킨)
84,여,26,로션(에멀전)
85,여,26,"크림(수분크림,영양크림)"
86,남,27,토너(스킨)
87,남,27,"크림(수분크림,영양크림)"
88,남,27,선크림
89,남,28,토너(스킨)
90,남,28,"에센스(세럼,앰플)"
91,남,28,로션(에멀전)
92,남,28,선크림
93,남,29,토너(스킨)
94,여,30,토너(스킨)
95,여,31,토너(스킨)
96,여,31,로션(에멀전)
97,여,31,"크림(수분크림,영양크림)"
98,여,31,선크림
99,남,32,토너(스킨)
100,남,32,"에센스(세럼,앰플)"
101,남,32,"크림(수분크림,영양크림)"
102,남,33,토너(스킨)
103,남,33,"에센스(세럼,앰플)"
104,남,33,로션(에멀전)
105,남,33,"크림(수분크림,영양크림)"
106,남,33,선크림
107,남,34,"크림(수분크림,영양크림)"
108,남,35,토너(스킨)
109,남,35,로션(에멀전)
110,남,35,"크림(수분크림,영양크림)"
111,여,36,토너(스킨)
112,여,36,"에센스(세럼,앰플)"
113,여,36,"크림(수분크림,영양크림)"
114,여,36,선크림
115,남,37,토너(스킨)
116,남,37,로션(에멀전)
117,남,37,"크림(수분크림,영양크림)"
118,남,37,선크림
119,남,38,토너(스킨)
120,남,38,로션(에멀전)
121,여,39,토너(스킨)
122,여,39,"에센스(세럼,앰플)"
123,여,39,로션(에멀전)
124,여,39,"크림(수분크림,영양크림)"
125,남,40,토너(스킨)
126,남,40,로션(에멀전)
127,남,41,토너(스킨)
128,남,41,로션(에멀전)
129,남,41,"크림(수분크림,영양크림)"
130,남,42,토너(스킨)
131,남,42,로션(에멀전)
132,남,42,선크림
133,남,43,토너(스킨)
134,남,43,"에센스(세럼,앰플)"
135,남,43,로션(에멀전)
136,남,43,"크림(수분크림,영양크림)"
137,남,43,선크림
138,남,44,"에센스(세럼,앰플)"
139,남,44,"크림(수분크림,영양크림)"
140,남,44,선크림
141,남,45,"에센스(세럼,앰플)"
142,남,46,토너(스킨)
143,남,46,"에센스(세럼,앰플)"
144,남,46,로션(에멀전)
145,남,46,"크림(수분크림,영양크림)"
146,남,46,선크림
147,남,47,"크림(수분크림,영양크림)"
148,남,48,토너(스킨)
149,남,48,로션(에멀전)
150,남,48,선크림
151,여,49,로션(에멀전)
152,여,50,토너(스킨)
153,여,50,"에센스(세럼,앰플)"
154,여,50,"크림(수분크림,영양크림)"
155,남,51,토너(스킨)
156,남,51,로션(에멀전)
157,여,52,토너(스킨)
158,여,52,로션(에멀전)
159,여,52,"크림(수분크림,영양크림)"
160,남,53,"에센스(세럼,앰플)"
161,남,53,선크림
162,남,54,토너(스킨)
163,남,54,"크림(수분크림,영양크림)"
164,남,54,선크림
165,여,55,토너(스킨)
166,여,55,"에센스(세럼,앰플)"
167,여,55,"크림(수분크림,영양크림)"
168,여,56,토너(스킨)
169,여,56,"에센스(세럼,앰플)"
170,여,56,로션(에멀전)
171,여,56,"크림(수분크림,영양크림)"
172,남,57,토너(스킨)
173,남,57,"에센스(세럼,앰플)"
174,남,57,"크림(수분크림,영양크림)"
175,남,58,토너(스킨)
176,남,58,로션(에멀전)
177,남,58,선크림
178,남,59,토너(스킨)
179,남,59,로션(에멀전)
180,남,59,선크림
181,여,60,토너(스킨)
182,여,60,선크림
183,남,61,토너(스킨)
184,남,61,"에센스(세럼,앰플)"
185,남,61,"크림(수분크림,영양크림)"
186,여,62,"에센스(세럼,앰플)"
187,여,62,"크림(수분크림,영양크림)"
188,여,62,선크림
189,남,63,토너(스킨)
190,남,63,로션(에멀전)
191,남,63,"크림(수분크림,영양크림)"
192,남,64,토너(스킨)
193,남,64,로션(에멀전)
194,남,65,토너(스킨)
195,남,65,"에센스(세럼,앰플)"
196,남,65,로션(에멀전)
197,남,65,"크림(수분크림,영양크림)"
198,남,65,선크림
199,여,66,로션(에멀전)
200,여,66,"크림(수분크림,영양크림)"
201,여,67,토너(스킨)
202,여,67,"에센스(세럼,앰플)"
203,여,67,"크림(수분크림,영양크림)"
204,여,67,선크림
205,여,68,토너(스킨)
206,여,68,"에센스(세럼,앰플)"
207,여,68,로션(에멀전)
208,여,68,"크림(수분크림,영양크림)"
