Column1,Sex,transaction,Cosmetics
0,남,1,토너(스킨)
1,남,1,로션(에멀전)
2,남,1,"크림(수분크림,영양크림)"
3,남,1,선크림
4,남,2,토너(스킨)
5,남,2,"에센스(세럼,앰플)"
6,남,2,로션(에멀전)
7,남,2,선크림
8,남,3,토너(스킨)
9,남,3,"에센스(세럼,앰플)"
10,남,3,로션(에멀전)
11,남,3,선크림
12,남,4,토너(스킨)
13,남,4,"에센스(세럼,앰플)"
14,남,4,로션(에멀전)
15,남,4,선크림
16,남,5,토너(스킨)
17,남,5,"크림(수분크림,영양크림)"
18,남,6,토너(스킨)
19,남,6,로션(에멀전)
20,남,7,"에센스(세럼,앰플)"
21,남,7,로션(에멀전)
22,남,8,토너(스킨)
23,남,9,토너(스킨)
24,남,9,"크림(수분크림,영양크림)"
25,남,9,선크림
26,남,10,토너(스킨)
27,남,10,"에센스(세럼,앰플)"
28,남,10,로션(에멀전)
29,남,10,"크림(수분크림,영양크림)"
30,남,10,선크림
31,남,11,토너(스킨)
32,남,11,로션(에멀전)
33,남,11,"크림(수분크림,영양크림)"
34,남,11,선크림
35,남,12,토너(스킨)
36,남,12,"에센스(세럼,앰플)"
37,남,12,로션(에멀전)
38,남,12,선크림
39,남,13,토너(스킨)
40,남,13,"크림(수분크림,영양크림)"
41,남,13,선크림
42,남,14,토너(스킨)
43,남,14,"에센스(세럼,앰플)"
44,남,14,로션(에멀전)
45,남,14,선크림
46,남,15,토너(스킨)
47,남,16,토너(스킨)
48,남,16,"에센스(세럼,앰플)"
49,남,16,"크림(수분크림,영양크림)"
50,남,17,토너(스킨)
51,남,17,"에센스(세럼,앰플)"
52,남,17,로션(에멀전)
53,남,17,"크림(수분크림,영양크림)"
54,남,17,선크림
55,남,18,"크림(수분크림,영양크림)"
56,남,19,토너(스킨)
57,남,19,로션(에멀전)
58,남,19,"크림(수분크림,영양크림)"
59,남,20,토너(스킨)
60,남,20,로션(에멀전)
61,남,20,"크림(수분크림,영양크림)"
62,남,20,선크림
63,남,21,토너(스킨)
64,남,21,로션(에멀전)
65,남,22,토너(스킨)
66,남,22,로션(에멀전)
67,남,23,토너(스킨)
68,남,23,로션(에멀전)
69,남,23,"크림(수분크림,영양크림)"
70,남,24,토너(스킨)
71,남,24,로션(에멀전)
72,남,24,선크림
73,남,25,토너(스킨)
74,남,25,"에센스(세럼,앰플)"
75,남,25,로션(에멀전)
76,남,25,"크림(수분크림,영양크림)"
77,남,25,선크림
78,남,26,"에센스(세럼,앰플)"
79,남,26,"크림(수분크림,영양크림)"
80,남,26,선크림
81,남,27,"에센스(세럼,앰플)"
82,남,28,토너(스킨)
83,남,28,"에센스(세럼,앰플)"
84,남,28,로션(에멀전)
85,남,28,"크림(수분크림,영양크림)"
86,남,28,선크림
87,남,29,"크림(수분크림,영양크림)"
88,남,30,토너(스킨)
89,남,30,로션(에멀전)
90,남,30,선크림
91,남,31,토너(스킨)
92,남,31,로션(에멀전)
93,남,32,"에센스(세럼,앰플)"
94,남,32,선크림
95,남,33,토너(스킨)
96,남,33,"크림(수분크림,영양크림)"
97,남,33,선크림
98,남,34,토너(스킨)
99,남,34,"에센스(세럼,앰플)"
100,남,34,"크림(수분크림,영양크림)"
101,남,35,토너(스킨)
102,남,35,로션(에멀전)
103,남,35,선크림
104,남,36,토너(스킨)
105,남,36,로션(에멀전)
106,남,36,선크림
107,남,37,토너(스킨)
108,남,37,"에센스(세럼,앰플)"
109,남,37,"크림(수분크림,영양크림)"
110,남,38,토너(스킨)
111,남,38,로션(에멀전)
112,남,38,"크림(수분크림,영양크림)"
113,남,39,토너(스킨)
114,남,39,로션(에멀전)
115,남,40,토너(스킨)
116,남,40,"에센스(세럼,앰플)"
117,남,40,로션(에멀전)
118,남,40,"크림(수분크림,영양크림)"
119,남,40,선크림
120,남,41,로션(에멀전)
