Column1,Sex,transaction,Cosmetics
0,여,1,토너(스킨)
1,여,1,"크림(수분크림,영양크림)"
2,여,2,토너(스킨)
3,여,2,"에센스(세럼,앰플)"
4,여,2,로션(에멀전)
5,여,2,"크림(수분크림,영양크림)"
6,여,2,선크림
7,여,3,토너(스킨)
8,여,3,"에센스(세럼,앰플)"
9,여,3,로션(에멀전)
10,여,3,"크림(수분크림,영양크림)"
11,여,3,선크림
12,여,4,토너(스킨)
13,여,4,"크림(수분크림,영양크림)"
14,여,5,토너(스킨)
15,여,5,"에센스(세럼,앰플)"
16,여,5,로션(에멀전)
17,여,5,"크림(수분크림,영양크림)"
18,여,5,선크림
19,여,6,토너(스킨)
20,여,6,"에센스(세럼,앰플)"
21,여,6,로션(에멀전)
22,여,7,토너(스킨)
23,여,7,"에센스(세럼,앰플)"
24,여,7,로션(에멀전)
25,여,8,토너(스킨)
26,여,8,"크림(수분크림,영양크림)"
27,여,8,선크림
28,여,9,토너(스킨)
29,여,9,선크림
30,여,10,토너(스킨)
31,여,10,"크림(수분크림,영양크림)"
32,여,10,선크림
33,여,11,토너(스킨)
34,여,11,"에센스(세럼,앰플)"
35,여,11,로션(에멀전)
36,여,12,토너(스킨)
37,여,12,"에센스(세럼,앰플)"
38,여,12,로션(에멀전)
39,여,12,"크림(수분크림,영양크림)"
40,여,13,토너(스킨)
41,여,13,"에센스(세럼,앰플)"
42,여,13,로션(에멀전)
43,여,13,"크림(수분크림,영양크림)"
44,여,14,토너(스킨)
45,여,14,로션(에멀전)
46,여,14,"크림(수분크림,영양크림)"
47,여,15,토너(스킨)
48,여,16,토너(스킨)
49,여,16,로션(에멀전)
50,여,16,"크림(수분크림,영양크림)"
51,여,16,선크림
52,여,17,토너(스킨)
53,여,17,"에센스(세럼,앰플)"
54,여,17,"크림(수분크림,영양크림)"
55,여,17,선크림
56,여,18,토너(스킨)
57,여,18,"에센스(세럼,앰플)"
58,여,18,로션(에멀전)
59,여,18,"크림(수분크림,영양크림)"
60,여,19,로션(에멀전)
61,여,20,토너(스킨)
62,여,20,"에센스(세럼,앰플)"
63,여,20,"크림(수분크림,영양크림)"
64,여,21,토너(스킨)
65,여,21,로션(에멀전)
66,여,21,"크림(수분크림,영양크림)"
67,여,22,토너(스킨)
68,여,22,"에센스(세럼,앰플)"
69,여,22,"크림(수분크림,영양크림)"
70,여,23,토너(스킨)
71,여,23,"에센스(세럼,앰플)"
72,여,23,로션(에멀전)
73,여,23,"크림(수분크림,영양크림)"
74,여,24,토너(스킨)
75,여,24,선크림
76,여,25,"에센스(세럼,앰플)"
77,여,25,"크림(수분크림,영양크림)"
78,여,25,선크림
79,여,26,로션(에멀전)
80,여,26,"크림(수분크림,영양크림)"
81,여,27,토너(스킨)
82,여,27,"에센스(세럼,앰플)"
83,여,27,"크림(수분크림,영양크림)"
84,여,27,선크림
85,여,28,토너(스킨)
86,여,28,"에센스(세럼,앰플)"
87,여,28,로션(에멀전)
88,여,28,"크림(수분크림,영양크림)"
89,여,28,페이스
90,여,28,오일
91,여,28,선크림
92,여,29,토너(스킨)
93,여,29,"크림(수분크림,영양크림)"
