TIMESTAMP,1. 성별은?,2.세안 후 사용하는 기초 화장품은?,3. 본인이 사용하는 기초 화장품에 대한 만족도를 골라주세요.
2023-05-12 16:22,남,"토너(스킨) 로션(에멀전) 크림(수분크림,영양크림) 선크림",7
2023-05-12 16:22,여,"토너(스킨) 크림(수분크림,영양크림)",5
2023-05-12 16:23,남,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 선크림",5
2023-05-12 16:24,여,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림) 선크림",7
2023-05-12 16:44,남,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 선크림",5
2023-05-12 17:10,여,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림) 선크림",7
2023-05-13 17:15,남,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 선크림",5
2023-05-13 17:26,남,"토너(스킨) 크림(수분크림,영양크림)",5
2023-05-14 14:56,여,"토너(스킨) 크림(수분크림,영양크림)",6
2023-05-21 14:13,여,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림) 선크림",5
2023-05-22 15:06,남,토너(스킨) 로션(에멀전),4
2023-05-22 15:06,여,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전)",5
2023-05-22 15:07,여,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전)",5
2023-05-22 15:08,남,"에센스(세럼, 앰플) 로션(에멀전)",4
2023-05-22 15:10,남,토너(스킨),7
2023-05-22 15:11,남,"토너(스킨) 크림(수분크림,영양크림) 선크림",5
2023-05-22 15:13,여,"토너(스킨) 크림(수분크림,영양크림) 선크림",5
2023-05-22 15:15,여,토너(스킨) 선크림,7
2023-05-22 15:27,여,"토너(스킨) 크림(수분크림,영양크림) 선크림",6
2023-05-22 15:32,남,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림) 선크림",7
2023-05-22 15:46,여,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전)",4
2023-05-22 15:51,여,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림)",7
2023-05-22 16:01,여,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림)",5
2023-05-22 16:59,남,"토너(스킨) 로션(에멀전) 크림(수분크림,영양크림) 선크림",5
2023-05-22 17:49,남,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 선크림",5
2023-05-22 17:55,여,"토너(스킨) 로션(에멀전) 크림(수분크림,영양크림)",5
2023-05-22 18:22,남,"토너(스킨) 크림(수분크림,영양크림) 선크림",5
2023-05-22 18:52,남,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 선크림",6
2023-05-22 19:44,남,토너(스킨),4
2023-05-22 20:33,여,토너(스킨),4
2023-05-22 22:52,여,"토너(스킨) 로션(에멀전) 크림(수분크림,영양크림) 선크림",4
2023-05-23 0:17,남,"토너(스킨) 에센스(세럼, 앰플) 크림(수분크림,영양크림)",5
2023-05-23 0:18,남,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림) 선크림",6
2023-05-23 0:19,남,"크림(수분크림,영양크림)",7
2023-05-23 0:19,남,"토너(스킨) 로션(에멀전) 크림(수분크림,영양크림)",6
2023-05-23 0:20,여,"토너(스킨) 에센스(세럼, 앰플) 크림(수분크림,영양크림) 선크림",5
2023-05-23 0:21,남,"토너(스킨) 로션(에멀전) 크림(수분크림,영양크림) 선크림",5
2023-05-23 0:22,남,토너(스킨) 로션(에멀전),6
2023-05-23 0:22,여,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림)",6
2023-05-23 0:22,남,토너(스킨) 로션(에멀전),5
2023-05-23 0:25,남,"토너(스킨) 로션(에멀전) 크림(수분크림,영양크림)",4
2023-05-23 0:26,남,토너(스킨) 로션(에멀전) 선크림,7
2023-05-23 0:29,남,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림) 선크림",6
2023-05-23 0:37,남,"에센스(세럼, 앰플) 크림(수분크림,영양크림) 선크림",7
2023-05-23 0:39,남,"에센스(세럼, 앰플)",6
2023-05-23 0:41,남,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림) 선크림",4
2023-05-23 0:42,남,"크림(수분크림,영양크림)",7
2023-05-23 0:47,남,토너(스킨) 로션(에멀전) 선크림,6
2023-05-23 0:56,여,로션(에멀전),7
2023-05-23 0:59,여,"토너(스킨) 에센스(세럼, 앰플) 크림(수분크림,영양크림)",7
2023-05-23 1:03,남,토너(스킨) 로션(에멀전),5
2023-05-23 1:11,여,"토너(스킨) 로션(에멀전) 크림(수분크림,영양크림)",6
2023-05-23 1:13,남,"에센스(세럼, 앰플) 선크림",6
2023-05-23 1:16,남,"토너(스킨) 크림(수분크림,영양크림) 선크림",5
2023-05-23 1:18,여,"토너(스킨) 에센스(세럼, 앰플) 크림(수분크림,영양크림)",6
2023-05-23 1:27,여,"토너(스킨) 에센스(세럼, 앰플) 로션(에멀전) 크림(수분크림,영양크림)",5
2023-05-23 1:52,남,"토너(스킨) 에센스(세럼, 앰플) 크림(수분크림,영양크림)",5
2023-05-23 3:15,남,토너(스킨) 로션(에멀전) 선크림,6
2023-05-23 6:53,남,토너(스킨) 로션(에멀전) 선크림,6
2023-05-23 8:18,여,토너(스킨) 선크림,4
2023-05-23 9:53,남,"토너(스킨) 에센스(세럼, 앰플) 크림(수분크림,영양크림)",6
2023-05-23 11:12,여,"에센스(세럼, 앰플) 크림(수분크림,영양크림) 선크림",4
2023-05-23 13:02,남,"토너(스킨) 로션(에멀전) 크림(수분크림,영양크림)",6
