income,cost,type,cost_per_income
110,94,P,0.854545455
110,95,P,0.863636364
18,15,J,0.833333333
70,80,J,1.142857143
70,80,J,1.142857143
60,100,P,1.666666667
50,80,P,1.6
50,80,P,1.6
50,48,P,0.96
30,60,J,2
300,600,J,2
90,100,P,1.111111111
130,125,P,0.961538462
70,65,J,0.928571429
150,150,P,1
180,180,P,1
80,40,P,0.5
50,50,J,1
100,120,J,1.2
30,40,J,1.333333333
80,100,P,1.25
100,100,P,1
32,100,P,3.125
30,30,P,1
80,60,P,0.75
60,100,P,1.666666667
50,40,J,0.8
55,55,J,1
50,50,P,1
40,35,P,0.875
80,60,J,0.75
91.2,140,J,0.153508772
135,95,J,0.703703704
90,70,J,0.777777778
40,50,J,1.25
80,150,P,1.875
250,150,P,0.6
360,250,J,0.694444444
60,80,J,1.333333333
60,25,J,0.416666667
86,91,P,1.058139535
120,90,J,0.75
120,100,J,0.833333333
40,50,J,1.25
40,20,J,0.5
100,200,,2
80,80,J,1
30,90,J,3
160,120,P,0.75
300,150,J,0.5
180,170,P,0.944444444
120,140,P,1.166666667
80,70,J,0.875
50,50,P,1
130,90,P,0.692307692
50,110,P,2.2
50,50,P,1
